Matricula  3198-WJG, Tipo: Moto, Hora salida: 09:52:58, Gasto: 8,29
Matricula  4387-SPK, Tipo: Electrico, Hora salida: 09:54:45, Gasto: 23,16
Matricula  3964-OJO, Tipo: Electrico, Hora salida: 09:54:46, Gasto: 32,16
Matricula  9006-QNI, Tipo: Electrico, Hora salida: 09:54:46, Gasto: 17,44
Matricula  3857-IVZ, Tipo: Electrico, Hora salida: 09:54:47, Gasto: 16,14
Matricula  9675-GHK, Tipo: Electrico, Hora salida: 09:54:49, Gasto: 27,58
Matricula  7825-OMB, Tipo: Electrico, Hora salida: 09:54:49, Gasto: 8,17
Matricula  0226-POL, Tipo: Electrico, Hora salida: 09:54:50, Gasto: 24,85
Matricula  9629-MAZ, Tipo: Electrico, Hora salida: 09:54:52, Gasto: 9,92
Matricula  2468-BNY, Tipo: Electrico, Hora salida: 09:54:53, Gasto: 23,71
Matricula  0593-XVT, Tipo: Electrico, Hora salida: 09:54:53, Gasto: 20,79
Matricula  7008-ZLL, Tipo: Electrico, Hora salida: 09:54:54, Gasto: 24,84
Matricula  3438-KSJ, Tipo: Electrico, Hora salida: 09:54:55, Gasto: 22,05
Matricula  6980-LPQ, Tipo: Electrico, Hora salida: 09:54:56, Gasto: 5,86
Matricula  2901-GCC, Tipo: Electrico, Hora salida: 09:54:56, Gasto: 8,76
Matricula  8893-MXM, Tipo: Electrico, Hora salida: 09:54:57, Gasto: 11,80
Matricula  6926-XRR, Tipo: Electrico, Hora salida: 09:54:59, Gasto: 24,59
Matricula  2105-XMD, Tipo: Electrico, Hora salida: 09:55:00, Gasto: 20,64
Matricula  9780-QCF, Tipo: Electrico, Hora salida: 09:55:01, Gasto: 13,08
Matricula  7561-NXT, Tipo: Electrico, Hora salida: 09:55:02, Gasto: 31,15
Matricula  7768-EPJ, Tipo: Electrico, Hora salida: 09:55:03, Gasto: 23,15
Matricula  7145-OZS, Tipo: Electrico, Hora salida: 09:55:03, Gasto: 3,93
Matricula  0130-NZY, Tipo: Electrico, Hora salida: 09:55:04, Gasto: 14,50
Matricula  6634-QXP, Tipo: Electrico, Hora salida: 09:55:04, Gasto: 13,21
Matricula  0903-UHG, Tipo: Electrico, Hora salida: 09:55:05, Gasto: 8,87
Matricula  0684-BKC, Tipo: Electrico, Hora salida: 09:55:06, Gasto: 32,58
Matricula  2318-TKK, Tipo: Electrico, Hora salida: 09:55:09, Gasto: 28,67
Matricula  3240-ZMV, Tipo: Coche, Hora salida: 09:55:10, Gasto: 5,90
Matricula  2722-WVP, Tipo: Coche, Hora salida: 09:55:11, Gasto: 14,40
Matricula  0517-RWM, Tipo: Electrico, Hora salida: 09:55:12, Gasto: 22,89
Matricula  7729-PRP, Tipo: Electrico, Hora salida: 09:55:13, Gasto: 21,01
Matricula  3100-HOH, Tipo: Coche, Hora salida: 09:55:13, Gasto: 12,74
Matricula  1870-FIQ, Tipo: Electrico, Hora salida: 09:55:14, Gasto: 27,11
Matricula  4256-EQV, Tipo: Coche, Hora salida: 09:55:14, Gasto: 16,23
Matricula  7491-WAR, Tipo: Coche, Hora salida: 09:55:16, Gasto: 13,07
Matricula  8874-TFV, Tipo: Coche, Hora salida: 09:55:17, Gasto: 12,77
Matricula  7119-LMJ, Tipo: Coche, Hora salida: 09:55:18, Gasto: 12,92
Matricula  4675-TNW, Tipo: Coche, Hora salida: 09:55:21, Gasto: 7,36
Matricula  7532-MIT, Tipo: Coche, Hora salida: 09:55:21, Gasto: 22,71
Matricula  7364-RMP, Tipo: Coche, Hora salida: 09:55:22, Gasto: 15,84
Matricula  0646-ERX, Tipo: Electrico, Hora salida: 09:55:22, Gasto: 32,74
Matricula  5515-CBG, Tipo: Coche, Hora salida: 09:55:23, Gasto: 13,25
Matricula  2997-CKX, Tipo: Coche, Hora salida: 09:55:23, Gasto: 29,59
Matricula  3829-VZF, Tipo: Coche, Hora salida: 09:55:24, Gasto: 3,63
Matricula  8780-ZMS, Tipo: Coche, Hora salida: 09:55:28, Gasto: 16,97
Matricula  7958-OQF, Tipo: Coche, Hora salida: 09:55:28, Gasto: 22,31
Matricula  0848-IIB, Tipo: Coche, Hora salida: 09:55:30, Gasto: 14,78
Matricula  6612-CLN, Tipo: Coche, Hora salida: 09:55:31, Gasto: 14,33
Matricula  3336-PDZ, Tipo: Coche, Hora salida: 09:55:32, Gasto: 21,75
Matricula  2581-VGY, Tipo: Coche, Hora salida: 09:55:33, Gasto: 31,49
Matricula  4411-XCA, Tipo: Coche, Hora salida: 09:55:33, Gasto: 15,54
Matricula  8671-VGV, Tipo: Coche, Hora salida: 09:55:34, Gasto: 28,42
Matricula  8118-XSU, Tipo: Coche, Hora salida: 09:55:34, Gasto: 6,18
Matricula  7159-TPT, Tipo: Coche, Hora salida: 09:55:35, Gasto: 10,44
Matricula  2525-LCS, Tipo: Coche, Hora salida: 09:55:36, Gasto: 13,42
Matricula  5467-DTB, Tipo: Coche, Hora salida: 09:55:36, Gasto: 16,50
Matricula  2634-BEU, Tipo: Coche, Hora salida: 09:55:37, Gasto: 6,97
Matricula  6397-SQE, Tipo: Coche, Hora salida: 09:55:37, Gasto: 27,06
Matricula  9059-JVD, Tipo: Coche, Hora salida: 09:55:38, Gasto: 18,64
Matricula  3063-YIA, Tipo: Coche, Hora salida: 09:55:39, Gasto: 12,43
Matricula  6042-HOU, Tipo: Coche, Hora salida: 09:55:41, Gasto: 26,17
Matricula  1387-TMF, Tipo: Coche, Hora salida: 09:55:42, Gasto: 7,96
Matricula  3190-SMH, Tipo: Coche, Hora salida: 09:55:42, Gasto: 4,20
Matricula  9783-DEW, Tipo: PDI, Hora salida: 09:55:51, Gasto: 4,63
Matricula  8152-HMH, Tipo: Moto, Hora salida: 09:55:52, Gasto: 3,60
Matricula  6606-FWA, Tipo: PDI, Hora salida: 09:55:52, Gasto: 6,31
Matricula  1830-RHJ, Tipo: Moto, Hora salida: 09:55:53, Gasto: 6,79
Matricula  3906-GUM, Tipo: PDI, Hora salida: 09:55:53, Gasto: 7,28
Matricula  9926-OAN, Tipo: PDI, Hora salida: 09:55:54, Gasto: 7,61
Matricula  1530-UOT, Tipo: PDI, Hora salida: 09:55:56, Gasto: 11,21
Matricula  3682-LCT, Tipo: PDI, Hora salida: 09:55:56, Gasto: 12,42
Matricula  1393-FEG, Tipo: PDI, Hora salida: 09:55:57, Gasto: 12,89
Matricula  8366-VLC, Tipo: Moto, Hora salida: 09:55:57, Gasto: 5,62
Matricula  2338-UFE, Tipo: PDI, Hora salida: 09:55:58, Gasto: 13,31
Matricula  8895-QWI, Tipo: PDI, Hora salida: 09:55:59, Gasto: 13,78
Matricula  7828-FTR, Tipo: Moto, Hora salida: 09:55:59, Gasto: 3,36
Matricula  3493-ELN, Tipo: PDI, Hora salida: 09:56:00, Gasto: 14,81
Matricula  9724-TVT, Tipo: PDI, Hora salida: 09:56:00, Gasto: 14,88
Matricula  3873-UCR, Tipo: PDI, Hora salida: 09:56:01, Gasto: 15,87
Matricula  0063-NHH, Tipo: Moto, Hora salida: 09:56:01, Gasto: 3,20
Matricula  5264-OWW, Tipo: PDI, Hora salida: 09:56:02, Gasto: 19,28
Matricula  9114-AJA, Tipo: Moto, Hora salida: 09:56:02, Gasto: 13,81
Matricula  5634-KJT, Tipo: Moto, Hora salida: 09:56:03, Gasto: 15,87
Matricula  8338-IEK, Tipo: PDI, Hora salida: 09:56:03, Gasto: 21,88
Matricula  7727-CPH, Tipo: PDI, Hora salida: 09:56:04, Gasto: 23,73
Matricula  5422-IEA, Tipo: Moto, Hora salida: 09:56:07, Gasto: 4,64
Matricula  3725-IQC, Tipo: PDI, Hora salida: 09:56:08, Gasto: 28,70
Matricula  6755-JQS, Tipo: PDI, Hora salida: 09:56:08, Gasto: 29,84
Matricula  2977-VCJ, Tipo: Moto, Hora salida: 09:56:09, Gasto: 27,54
Matricula  7905-IXX, Tipo: PDI, Hora salida: 09:56:09, Gasto: 31,68
Matricula  8578-PHL, Tipo: PDI, Hora salida: 09:56:10, Gasto: 32,29
Matricula  5968-JPJ, Tipo: Moto, Hora salida: 09:56:10, Gasto: 9,87
Matricula  3237-TWJ, Tipo: PDI, Hora salida: 09:56:11, Gasto: 32,57
Matricula  5200-TTN, Tipo: Moto, Hora salida: 09:56:11, Gasto: 12,21
Matricula  0093-MKR, Tipo: Moto, Hora salida: 09:56:12, Gasto: 15,50
Matricula  6597-ISQ, Tipo: Moto, Hora salida: 09:56:12, Gasto: 17,33
Matricula  9490-RSZ, Tipo: Moto, Hora salida: 09:56:13, Gasto: 22,86
Matricula  2390-EIS, Tipo: Moto, Hora salida: 09:56:14, Gasto: 26,39
Matricula  1587-ZHY, Tipo: Moto, Hora salida: 09:56:15, Gasto: 32,00
Matricula  3918-GIA, Tipo: Moto, Hora salida: 09:56:18, Gasto: 13,23
Matricula  2907-CTI, Tipo: Moto, Hora salida: 09:56:18, Gasto: 16,25
Matricula  0384-SQQ, Tipo: Moto, Hora salida: 09:56:19, Gasto: 25,95
Matricula  9136-LTY, Tipo: Moto, Hora salida: 09:56:19, Gasto: 8,77
Matricula  6401-UYO, Tipo: Moto, Hora salida: 09:56:21, Gasto: 10,46
Matricula  8378-KRM, Tipo: Moto, Hora salida: 09:56:22, Gasto: 23,03
Matricula  4491-PYI, Tipo: Moto, Hora salida: 09:56:22, Gasto: 24,75
Matricula  1409-WVP, Tipo: Moto, Hora salida: 09:56:23, Gasto: 18,30
Matricula  0066-CWT, Tipo: Electrico, Hora salida: 09:56:23, Gasto: 4,86
Matricula  0851-RNI, Tipo: Electrico, Hora salida: 09:56:24, Gasto: 9,03
Matricula  0294-ICF, Tipo: Moto, Hora salida: 09:56:25, Gasto: 20,00
Matricula  6339-VOF, Tipo: Moto, Hora salida: 09:56:28, Gasto: 16,37
Matricula  0390-PKG, Tipo: Electrico, Hora salida: 09:56:28, Gasto: 7,95
Matricula  9462-LZO, Tipo: Moto, Hora salida: 09:56:29, Gasto: 31,21
Matricula  2798-JNM, Tipo: Electrico, Hora salida: 09:56:31, Gasto: 4,42
Matricula  5467-GEF, Tipo: Moto, Hora salida: 09:56:31, Gasto: 30,20
Matricula  6068-SQF, Tipo: Electrico, Hora salida: 09:56:32, Gasto: 15,56
Matricula  8682-YYM, Tipo: Moto, Hora salida: 09:56:33, Gasto: 26,71
Matricula  5462-UUQ, Tipo: Electrico, Hora salida: 09:56:34, Gasto: 6,71
Matricula  8966-AKE, Tipo: Electrico, Hora salida: 09:56:36, Gasto: 12,44
Matricula  1803-XCS, Tipo: Moto, Hora salida: 09:56:37, Gasto: 31,13
Matricula  4728-AHV, Tipo: Electrico, Hora salida: 09:56:37, Gasto: 18,24
Matricula  3649-NMQ, Tipo: Electrico, Hora salida: 09:56:40, Gasto: 11,90
Matricula  3877-SPA, Tipo: Electrico, Hora salida: 09:56:41, Gasto: 32,49
Matricula  6646-PMM, Tipo: Electrico, Hora salida: 09:56:41, Gasto: 22,29
Matricula  1558-TRA, Tipo: Electrico, Hora salida: 09:56:43, Gasto: 6,34
Matricula  7701-IFC, Tipo: Electrico, Hora salida: 09:56:43, Gasto: 13,79
Matricula  8680-UXA, Tipo: Electrico, Hora salida: 09:56:44, Gasto: 32,05
Matricula  5162-DFG, Tipo: Electrico, Hora salida: 09:56:45, Gasto: 31,68
Matricula  7505-NEF, Tipo: Electrico, Hora salida: 09:56:46, Gasto: 24,92
Matricula  3717-CFA, Tipo: Electrico, Hora salida: 09:56:50, Gasto: 21,84
Matricula  2379-PIW, Tipo: Electrico, Hora salida: 09:56:51, Gasto: 26,00
Matricula  2391-VNC, Tipo: Electrico, Hora salida: 09:56:52, Gasto: 7,38
Matricula  8739-VQD, Tipo: Electrico, Hora salida: 09:56:53, Gasto: 31,52
Matricula  8364-CFT, Tipo: Electrico, Hora salida: 09:56:53, Gasto: 15,81
Matricula  3400-RCV, Tipo: Electrico, Hora salida: 09:56:54, Gasto: 21,03
Matricula  4677-BAZ, Tipo: Electrico, Hora salida: 09:56:54, Gasto: 26,86
Matricula  2006-FNL, Tipo: Electrico, Hora salida: 09:56:55, Gasto: 13,12
Matricula  2751-SWL, Tipo: Electrico, Hora salida: 09:56:55, Gasto: 4,71
Matricula  4135-OXW, Tipo: Electrico, Hora salida: 09:56:56, Gasto: 21,26
Matricula  8677-ADD, Tipo: Electrico, Hora salida: 09:56:56, Gasto: 8,83
Matricula  9916-KHO, Tipo: Electrico, Hora salida: 09:56:57, Gasto: 10,74
Matricula  8637-CMT, Tipo: Electrico, Hora salida: 09:56:57, Gasto: 3,89
Matricula  9962-QJY, Tipo: Electrico, Hora salida: 09:56:58, Gasto: 8,43
Matricula  7390-HIJ, Tipo: Electrico, Hora salida: 09:56:58, Gasto: 26,25
Matricula  2717-QUQ, Tipo: Electrico, Hora salida: 09:56:59, Gasto: 15,36
Matricula  7506-KJY, Tipo: Electrico, Hora salida: 09:56:59, Gasto: 32,63
Matricula  2025-ZZI, Tipo: Electrico, Hora salida: 09:57:01, Gasto: 11,89
Matricula  1161-EAS, Tipo: Electrico, Hora salida: 09:57:02, Gasto: 8,05
Matricula  0330-ZEA, Tipo: Electrico, Hora salida: 09:57:03, Gasto: 27,58
Matricula  7190-SAF, Tipo: Electrico, Hora salida: 09:57:03, Gasto: 29,71
Matricula  2583-JBN, Tipo: Electrico, Hora salida: 09:57:05, Gasto: 29,19
Matricula  8714-JOH, Tipo: Electrico, Hora salida: 09:57:06, Gasto: 14,57
Matricula  5071-LPO, Tipo: Electrico, Hora salida: 09:57:07, Gasto: 13,46
Matricula  9959-RLJ, Tipo: Electrico, Hora salida: 09:57:08, Gasto: 12,30
Matricula  6004-ADM, Tipo: Electrico, Hora salida: 09:57:09, Gasto: 13,24
Matricula  4483-IPU, Tipo: Electrico, Hora salida: 09:57:11, Gasto: 8,40
Matricula  5841-IYD, Tipo: Electrico, Hora salida: 09:57:12, Gasto: 13,84
Matricula  2727-TVB, Tipo: Electrico, Hora salida: 09:57:16, Gasto: 9,33
Matricula  5680-SCW, Tipo: Electrico, Hora salida: 09:57:17, Gasto: 32,00
Matricula  8213-GSL, Tipo: Electrico, Hora salida: 09:57:17, Gasto: 17,02
Matricula  0865-LFF, Tipo: Electrico, Hora salida: 09:57:18, Gasto: 8,66
Matricula  7251-ERV, Tipo: Electrico, Hora salida: 09:57:21, Gasto: 5,87
Matricula  6156-OPN, Tipo: Electrico, Hora salida: 09:57:22, Gasto: 21,03
Matricula  4023-ADW, Tipo: Electrico, Hora salida: 09:57:22, Gasto: 7,71
Matricula  4568-EAT, Tipo: Electrico, Hora salida: 09:57:23, Gasto: 30,46
Matricula  0865-SOF, Tipo: Electrico, Hora salida: 09:57:23, Gasto: 30,01
Matricula  8688-ZOH, Tipo: Electrico, Hora salida: 09:57:24, Gasto: 19,50
Matricula  4236-OOZ, Tipo: Electrico, Hora salida: 09:57:24, Gasto: 23,04
Matricula  8183-MLD, Tipo: Electrico, Hora salida: 09:57:25, Gasto: 19,05
Matricula  4415-LLN, Tipo: Electrico, Hora salida: 09:57:25, Gasto: 30,54
Matricula  4199-KTO, Tipo: Electrico, Hora salida: 09:57:28, Gasto: 14,15
Matricula  0155-KES, Tipo: Electrico, Hora salida: 09:57:28, Gasto: 19,26
Matricula  0727-GHZ, Tipo: Electrico, Hora salida: 09:57:29, Gasto: 14,36
Matricula  7228-TRV, Tipo: Electrico, Hora salida: 09:57:30, Gasto: 25,65
Matricula  3668-OLY, Tipo: Electrico, Hora salida: 09:57:31, Gasto: 6,14
Matricula  9122-WKB, Tipo: Electrico, Hora salida: 09:57:33, Gasto: 15,66
Matricula  8137-FTA, Tipo: Electrico, Hora salida: 09:57:33, Gasto: 13,36
Matricula  6075-TBA, Tipo: Electrico, Hora salida: 09:57:34, Gasto: 6,36
Matricula  2957-YHJ, Tipo: Electrico, Hora salida: 09:57:34, Gasto: 5,97
Matricula  0085-DHE, Tipo: Electrico, Hora salida: 09:57:36, Gasto: 31,97
Matricula  3250-ZZR, Tipo: Electrico, Hora salida: 09:57:36, Gasto: 3,76
Matricula  5403-SFJ, Tipo: Electrico, Hora salida: 09:57:37, Gasto: 12,41
Matricula  3414-XBC, Tipo: Electrico, Hora salida: 09:57:37, Gasto: 6,73
Matricula  4521-AWS, Tipo: Electrico, Hora salida: 09:57:38, Gasto: 24,87
Matricula  6134-KMV, Tipo: Electrico, Hora salida: 09:57:39, Gasto: 6,65
Matricula  9785-OUW, Tipo: Electrico, Hora salida: 09:57:41, Gasto: 31,71
Matricula  5608-BPP, Tipo: Electrico, Hora salida: 09:57:42, Gasto: 7,96
Matricula  4141-CCA, Tipo: Electrico, Hora salida: 09:57:43, Gasto: 29,59
Matricula  0109-GUF, Tipo: Electrico, Hora salida: 09:57:43, Gasto: 10,36
Matricula  7366-VUA, Tipo: Electrico, Hora salida: 09:57:45, Gasto: 6,32
Matricula  7717-RPS, Tipo: Electrico, Hora salida: 09:57:46, Gasto: 31,04
Matricula  2483-YJO, Tipo: Electrico, Hora salida: 09:57:47, Gasto: 9,72
Matricula  1586-MEJ, Tipo: Electrico, Hora salida: 09:57:48, Gasto: 31,88
Matricula  2817-CDO, Tipo: Electrico, Hora salida: 09:57:50, Gasto: 17,42
Matricula  1884-TFW, Tipo: Electrico, Hora salida: 09:57:51, Gasto: 13,25
Matricula  3601-PBJ, Tipo: Electrico, Hora salida: 09:57:52, Gasto: 30,64
Matricula  4446-PHV, Tipo: Electrico, Hora salida: 09:57:55, Gasto: 9,74
Matricula  8665-YBX, Tipo: Electrico, Hora salida: 09:57:55, Gasto: 23,33
Matricula  0744-PSN, Tipo: Electrico, Hora salida: 09:57:56, Gasto: 29,91
Matricula  9100-XDF, Tipo: Electrico, Hora salida: 09:57:56, Gasto: 17,12
Matricula  4592-VWJ, Tipo: Electrico, Hora salida: 09:57:58, Gasto: 21,26
Matricula  4798-DLC, Tipo: Electrico, Hora salida: 09:57:58, Gasto: 4,23
Matricula  0544-KFJ, Tipo: Electrico, Hora salida: 09:57:59, Gasto: 18,01
Matricula  2435-IFB, Tipo: Electrico, Hora salida: 09:58:00, Gasto: 22,03
Matricula  2161-JWP, Tipo: Coche, Hora salida: 09:58:01, Gasto: 5,00
Matricula  6724-HXP, Tipo: Electrico, Hora salida: 09:58:06, Gasto: 18,97
Matricula  1102-GWT, Tipo: Electrico, Hora salida: 09:58:06, Gasto: 23,62
Matricula  8475-AVQ, Tipo: Electrico, Hora salida: 09:58:07, Gasto: 25,69
Matricula  8108-MGK, Tipo: Coche, Hora salida: 09:58:07, Gasto: 3,95
Matricula  5148-CSO, Tipo: Electrico, Hora salida: 09:58:08, Gasto: 21,90
Matricula  3783-PDL, Tipo: Electrico, Hora salida: 09:58:08, Gasto: 23,68
Matricula  8471-CLE, Tipo: Electrico, Hora salida: 09:58:09, Gasto: 32,40
